The Magical Lands,Papra Mayro 46,43,2023-02-07
Mario's Vacation Course,Reonu,30,2021-04-16
SM64 Sapphire,Nebula,30,2017-12-10
Sunshine Secret Book 64,Dan-GPTV,40,2019-12-02
Super Mario Rainbow Road,Skilllux,60,2012-09-08
Plutonium Mario 64,UsernamesAreSpiders,101,2021-08-20
Luigi and the Forest Ruins: Rebooted,LinCrash & TheGael95,40,2016-09-10
Super Mario Lovestruck Calamity,Grand Star,85,2022-08-31
SM64 Peach's Memory,Daniel_EDC,60,2019-08-21
Super Mario _4,aglab2 & Lugmillord & various,30,2022-12-25
Star Revenge 5: Neo Blue Realm,BroDute,70,2016-12-26
SM64: Through the Ages,Kaze & various,95,2022-04-30
Super Mario's Jammin' Journey,ImSoGoosed,70,2020-04-03
Star Road Retooled,Skelux & Pyro Jay,130,2021-12-24
Mario Party 64,MrComit,70,2020-02-16
Princess Peach Sex Hack,MrComit,40,2020-11-01
Super Mario and the Cursed Castles,Foxen,121,2019-06-14
Escape from the Jail: Definitive Edition,aglab2 & TheGael95,50,2022-02-04
