Star Revenge 0: Galaxy of Origins,BroDute,122,2020-08-15
Ztar Attack Rebooted,aglab2 & TheGael95,170,2019-03-15
SM64: Last Impact,Kaze,130,2016-09-30
Super Mario 64 Land,Kaze,131,2019-11-10
SL64: The Flower Cup,UsernamesAreSpiders,166,2020-12-16
SM64: Beyond the Cursed Mirror,Rovert,120,2023-05-19
SM64 The Mushroom Cup,UsernamesAreSpiders,130,2018-07-03
Mario Can't Remember,QuillsTTV,30,2021-04-15
Mario's New Earth,The PixelSM64,125,2021-10-01
Star Revenge 5.5: Destroyed Memories,BroDute,70,2018-01-26
Super Mario 74,Lugmillord,151,2011-06-27
Phenomena 64,NobbieWasHere & StunningCactus & ToasterKetchup & various,120,2022-11-19
