Star Revenge 2.5: Remnant of Doom,BroDute,115,2015-04-30
All Star Adventure Extreme Edition,aglab2 & Redmat527 & scuttlebug_raiser & ShiN3 & sizzlingmario4 & SomeBro,45,2020-08-10
Realm Invasion,SomeBro,30,2020-09-21
Super Mario 74: Ten Years After,LinCrash & Lugmillord,155,2021-01-25
SM64 The Dark Stars,Caasje,75,2021-03-01
Lug's Tiny Torture,Lugmillord,74,2021-04-10
Super Mario Apocalypse '21,LouderMonkeyBoy & LinCrash,100,2021-12-24
Star Revenge 4.9: Adulterated Reality,BroDute & thebloody7 & sizzlingmario4,150,2022-08-12
Super Mario 74 Extreme Edition,Lugmillord,157,2012-12-25
Super Mario Treasure World,Rambi_Rampage,182,2016-12-05
King Boo's Revenge X,thebloody7,160,2020-05-22
Super Mario Senseless Delirium,Redmat527,80,2021-10-27
Servus 64,WhosKeev,141,2022-03-05
Silver Stars of Wisdom,MorningStormSM64 & various,159,2022-07-07
King Boo's Revenge 2,thebloody7 & sizzlingmario4,182,2018-07-23
Stars of the Beast 2: The Legend of the Crystal Stars,Milgram355,68,2019-12-13
Lost Lunatic Trials,ShiN3,65,2022-08-02
Lost Universe 2: Curse of Eternity,Bubby64,130,2022-08-13
Waifu Cauldron,MorningStormSM64 ( & Yuya),119,2023-01-14
Treasure World: Dream Edition,Rambi_Rampage,182,2019-07-15
Super Mario: Integration of Fragments,Akuro & harasy & HIbaNYA & High_Jin & Nitoushin_Elmo & Rambi_Rampage & Rulu & Tottori,196,2021-04-10
Super Mario: SezNative Reminiscence,Akuro & HIbaNYA & Mokkyun & Sill & Standback & Ura,182,2022-05-04
Super Mario: Invasion of Chuckya,Kougahei,170,2023-02-25
